data:max_stress_xx:value,data:max_stress_yy:value,data:max_vonmises_stress:value,data:p1_stress_xx:value,data:p1_stress_yy:value,data:p1_vonmises_stress:value,data:p2_stress_xx:value,data:p2_stress_yy:value,data:p2_vonmises_stress:value,data:p3_stress_xx:value,data:p3_stress_yy:value,data:p3_vonmises_stress:value,data:p4_stress_xx:value,data:p4_stress_yy:value,data:p4_vonmises_stress:value,data:p5_stress_xx:value,data:p5_stress_yy:value,data:p5_vonmises_stress:value,data:p6_stress_xx:value,data:p6_stress_yy:value,data:p6_vonmises_stress:value,data:p7_stress_xx:value,data:p7_stress_yy:value,data:p7_vonmises_stress:value,data:p8_stress_xx:value,data:p8_stress_yy:value,data:p8_vonmises_stress:value,data:p9_stress_xx:value,data:p9_stress_yy:value,data:p9_vonmises_stress:value
11223.25982,20205.02322,27817.29991,-1049.911657,3317.839244,3972.138179,1417.726562,8613.133403,7961.950987,-7.078204195,9780.071899,9783.442428,-0.091694282,9770.647038,9770.727017,0.009286361,9766.472157,9766.46626,0.070965057,9762.966979,9762.905868,-7.121163551,9780.461502,9783.839773,1436.972444,8583.476813,7927.576059,-1041.194943,3324.311613,3970.145952
11191.67951,20445.68842,28083.92728,-1061.20591,3238.881962,3897.790977,1377.066835,8888.767178,8252.178227,-5.542193598,10027.91386,10030.69371,-0.095070122,10025.08271,10025.16557,0.032450403,10020.53979,10020.52333,0.092465473,10016.20182,10016.12215,-5.154870934,10026.89188,10029.50001,1294.853934,9015.649014,8401.689856,-882.9672392,3646.991059,4120.070043
11194.20533,20413.12668,28003.77746,-1063.756419,3254.147588,3920.904251,1362.710148,8710.741758,8075.965475,-6.640437434,9815.37533,9818.598908,0.056658982,9801.391203,9801.343151,0.026238112,9804.111673,9804.097843,-0.06923803,9807.338471,9807.399612,-6.645451019,9815.435094,9818.658755,1366.057711,8705.095283,8069.336854,-1062.132082,3254.765634,3919.957817
11404.52286,20883.90971,28644.57361,-1045.944622,3394.785669,4045.726526,1461.402475,8575.875995,7911.325048,-7.353877321,9776.81319,9780.281914,-0.012571957,9762.246793,9762.258121,0.00034066,9761.853356,9761.851787,-0.01153403,9762.198173,9762.208601,-7.30638314,9776.081487,9779.553845,1427.096175,8629.406379,7973.199283,-835.9426297,3810.120786,4245.609067
11542.22886,20976.05525,28815.85652,-1028.12527,3475.316788,4109.895338,1529.489203,8498.080786,7814.699538,-7.595322621,9774.958755,9778.471021,0.016059519,9756.640548,9756.626872,-0.027691566,9757.724114,9757.736184,-0.048417982,9759.684788,9759.727034,-7.583721702,9774.459535,9777.98561,1507.521368,8531.332556,7853.16268,-1038.207391,3467.764516,4112.333745
11526.33402,21283.70129,29112.72832,-1026.746722,3459.334178,4096.637644,1511.618515,8418.563074,7740.172556,-7.509392105,9673.507175,9676.890608,-0.001807636,9653.673136,9653.674629,-0.085240757,9654.136342,9654.176737,-0.043432906,9655.637058,9655.674668,-7.587798272,9672.585831,9676.049155,1475.036748,8475.777818,7805.790731,-814.3255638,3868.443785,4288.593995
10697.80537,19283.12931,26530.69714,-1050.465088,2985.614331,3642.982998,1235.967611,8926.994058,8338.337364,-4.631952731,9965.224268,9967.571976,0.11152228,9954.370058,9954.274209,0.025654272,9959.597459,9959.584643,-0.112230881,9964.960113,9965.058263,-4.351546814,9964.57487,9966.794749,1176.288031,9023.4584,8451.517902,-1076.302884,2966.752955,3648.280155
11146.8818,20266.3325,27821.96019,-1038.064081,3254.995661,3897.36457,1409.94696,8621.8469,7975.546823,-6.78901565,9809.500305,9812.762346,0.09968384,9792.416621,9792.331012,0.024057942,9797.189118,9797.176252,-0.113591428,9802.492273,9802.591644,-6.620099751,9808.509312,9811.719242,1355.820986,8706.10779,8073.554327,-1062.370015,3237.488863,3903.263538
10725.03021,18944.07452,26217.78002,-1064.745131,3024.116398,3691.733898,1240.001029,9026.279465,8435.391197,-4.295541559,10050.36648,10052.5645,-0.175736912,10053.9297,10054.08229,0.023620901,10045.56957,10045.55768,0.175139796,10037.31568,10037.16414,-4.31119134,10050.40083,10052.60603,1243.590172,9020.518635,8428.570162,-1063.185076,3025.096506,3691.248358
10775.77423,19119.09701,26434.85844,-1070.70117,3047.470424,3720.031787,1243.262002,9018.970293,8425.962475,-4.436958907,10034.39022,10036.65521,0.081196421,10025.52975,10025.45973,0.025152879,10029.33206,10029.3194,-0.081925065,10033.25264,10033.32401,-4.404143361,10034.32645,10036.57577,1237.083183,9028.394231,8437.034579,-1073.284952,3045.07241,3720.060611
10828.93369,19644.80547,27004.76697,-890.2627142,3445.312724,3930.025045,1185.493893,9092.92985,8517.132431,-4.136021817,10021.88534,10024.00986,0.099751922,10012.77921,10012.69338,0.023113948,10017.45487,10017.44334,-0.099905886,10022.23338,10022.32062,-4.210197803,10022.05682,10024.21496,1202.637469,9064.415687,8483.562176,-1082.833598,3020.115838,3704.805229
